index,fixed acidity,volatile acidity,citric acid,total sulfur dioxide,pH,sulphates,alcohol,quality
53,6.4,0.18,0.35,108.0,3.31,0.35,10.9,6
54,6.8,0.2,0.59,132.0,,0.38,9.1,6
55,6.9,0.25,0.35,191.0,3.13,0.52,11.0,6
56,7.2,0.21,0.34,213.0,3.09,0.5,9.6,6
57,6.0,0.19,0.26,147.0,3.3,0.36,8.9,6
58,6.6,0.38,0.15,78.0,3.11,0.38,10.2,6
59,7.4,0.2,0.36,111.0,3.36,0.34,9.9,6
60,6.8,0.22,0.24,123.0,3.03,0.46,8.6,6
61,6.0,0.19,0.26,147.0,3.3,0.36,8.9,6
62,7.0,0.47,0.07,151.0,3.02,0.34,10.5,5
63,6.6,0.38,0.15,78.0,3.11,0.38,10.2,6
64,7.2,0.24,0.27,122.0,3.15,0.46,10.3,6
65,6.2,0.35,0.03,120.0,3.22,0.54,9.1,5
66,6.4,0.26,0.24,124.0,3.22,0.49,12.6,7
67,6.7,0.25,0.13,174.0,3.14,0.42,9.8,5
68,6.7,0.23,0.31,96.0,3.33,0.64,10.7,8
69,7.4,0.24,0.29,105.0,3.13,0.35,9.5,5
70,6.2,0.27,0.43,244.0,3.1,0.51,9.0,6
71,6.8,0.3,0.23,238.5,3.32,0.6,9.5,5
72,6.0,0.27,0.28,201.0,3.69,0.71,10.0,5
73,8.6,0.23,0.46,72.0,2.95,0.49,9.1,6
74,6.7,0.23,0.31,96.0,3.33,0.64,10.7,8
75,7.4,0.24,0.29,105.0,3.13,0.35,9.5,5
76,7.1,0.18,0.36,87.0,3.26,0.37,12.7,7
77,7.0,0.32,0.34,69.0,3.31,0.65,12.0,7
78,7.4,0.18,0.3,103.0,2.94,0.56,9.3,5
79,6.7,0.54,0.28,105.0,3.27,0.37,9.0,5
80,6.8,0.22,0.31,114.0,3.39,0.77,10.6,6
81,7.1,0.2,0.34,166.0,3.21,0.6,9.2,6
82,7.1,0.34,0.2,164.0,3.17,0.42,10.0,5
83,7.3,0.22,0.3,207.0,3.33,0.46,9.5,6
84,7.1,0.43,0.61,155.0,3.11,0.45,8.7,5
85,7.1,0.44,0.62,152.0,3.12,0.46,8.7,6
86,7.2,,0.63,156.0,3.09,0.44,8.7,6
87,6.8,0.25,0.31,202.0,3.22,0.48,9.7,6
88,7.1,0.43,0.61,155.0,3.11,0.45,8.7,5
89,7.1,0.44,0.62,152.0,3.12,0.46,8.7,6
90,7.2,0.39,0.63,156.0,3.09,0.44,8.7,6
91,6.1,0.27,0.43,243.0,3.12,0.47,9.0,5
92,6.9,0.24,0.33,136.0,3.26,0.4,12.6,7
93,6.9,0.21,0.33,136.0,3.25,0.41,12.6,7
94,7.5,0.17,0.32,148.0,3.21,0.44,11.5,7
95,7.1,0.26,0.29,240.0,3.04,0.42,9.2,6
96,6.0,0.34,0.66,164.0,3.14,0.5,8.8,6
97,8.6,0.265,0.36,80.0,2.95,0.36,11.4,7
98,9.8,0.36,0.46,83.0,2.89,0.3,10.1,4
99,6.0,0.34,0.66,164.0,3.14,0.5,8.8,6
100,7.4,0.25,0.37,192.0,3.0,0.44,9.1,5
101,7.1,0.12,0.32,162.0,3.4,0.41,9.4,5
102,6.0,0.21,0.24,164.0,3.34,0.39,9.4,5
103,7.5,0.305,0.4,170.0,2.99,0.46,9.0,5
104,7.4,0.25,0.37,192.0,3.0,0.44,9.1,5
105,7.3,0.13,0.32,109.0,3.2,0.35,9.2,6
106,7.1,0.12,0.32,162.0,3.4,0.41,9.4,5
107,7.1,0.23,0.35,171.0,3.16,0.59,9.1,6
108,7.1,0.23,0.35,171.0,3.16,0.59,9.1,6
109,6.9,0.33,0.28,187.0,3.27,0.6,10.3,5
110,6.5,0.17,0.54,163.0,2.89,0.39,8.8,6
111,7.2,0.27,0.46,255.0,3.04,0.52,8.9,5
112,7.2,0.31,0.5,195.0,3.01,0.47,9.2,5
113,6.7,0.41,0.34,150.0,3.22,0.51,9.1,5
114,6.7,0.41,0.34,150.0,3.22,0.51,9.1,5
115,5.5,0.485,0.0,103.0,3.63,0.4,9.7,4
116,6.0,0.31,0.24,143.0,3.31,0.44,11.3,6
117,7.0,0.14,0.4,85.0,3.19,0.42,11.8,6
118,7.2,0.31,0.5,195.0,3.01,0.47,9.2,5
119,7.3,0.32,0.48,196.0,3.04,0.5,9.2,5
120,5.9,0.36,0.04,87.0,3.22,0.51,10.2,5
121,7.8,0.24,0.32,138.0,3.01,0.54,8.8,5
122,7.4,0.16,0.31,131.0,3.29,0.34,9.7,5
123,6.9,0.19,0.28,146.0,3.29,0.36,9.1,6
124,6.4,0.13,0.47,158.0,3.21,0.36,9.8,6
125,6.7,0.19,0.36,143.0,3.27,0.48,11.0,6
126,7.4,0.39,0.23,126.0,3.14,0.42,10.5,5
127,6.5,0.24,0.32,203.0,3.45,0.54,9.7,7
128,6.1,0.3,0.56,179.0,3.3,0.57,10.9,7
129,6.1,0.3,0.56,184.0,3.31,0.57,10.9,6
130,5.7,0.26,0.25,57.0,3.39,0.37,10.6,5
131,6.5,0.24,0.32,203.0,3.45,0.54,9.7,7
132,6.5,0.425,0.4,241.0,3.23,0.57,9.0,5
133,6.6,0.24,0.27,188.0,3.24,0.51,9.2,5
134,6.8,0.27,0.22,203.0,3.19,0.52,8.9,5
135,6.7,0.27,0.31,179.0,3.26,0.56,9.6,5
136,8.2,0.23,0.4,121.0,3.12,0.38,10.7,6
137,7.1,0.37,0.67,155.0,3.16,0.44,8.7,5
138,6.8,0.19,0.36,96.0,3.15,0.54,10.8,7
139,8.1,0.28,0.39,79.0,,0.52,11.8,6
140,6.3,0.31,0.34,77.0,3.3,0.43,10.2,5
141,7.1,0.37,0.67,155.0,3.16,0.44,8.7,5
142,7.9,0.21,0.4,107.0,3.21,0.54,10.8,6
143,8.5,0.21,0.41,99.0,3.18,0.53,9.7,6
144,8.1,0.2,0.4,87.0,3.12,0.54,11.2,6
145,6.3,0.255,0.37,114.0,3.0,0.39,10.9,6
146,5.6,0.16,0.27,168.0,3.28,0.37,10.1,6
147,6.4,0.595,0.14,97.0,3.38,0.36,9.0,4
148,6.3,0.34,0.33,80.0,3.38,0.58,12.0,7
149,6.9,0.25,0.3,116.0,2.99,0.38,9.4,6
150,7.9,0.22,0.38,152.0,3.12,0.32,11.5,7
151,7.6,0.18,0.46,135.0,3.14,0.43,9.9,6
152,6.9,0.25,0.3,116.0,2.99,0.38,9.4,6
153,7.2,0.18,0.41,97.0,3.14,0.45,10.4,5
154,8.2,0.23,0.4,76.0,3.06,0.84,9.7,6
155,7.4,0.24,0.42,198.0,2.89,0.42,8.9,6
156,7.4,0.24,0.42,198.0,2.89,0.42,8.9,6
157,6.1,0.32,0.24,124.0,3.29,0.42,12.4,7
158,5.2,0.44,0.04,119.0,3.36,0.33,12.1,8
159,5.2,0.44,0.04,119.0,3.36,0.33,12.1,8
160,6.1,0.32,0.24,124.0,3.29,0.42,12.4,7
161,6.4,0.22,0.56,159.0,2.98,0.4,9.1,5
162,6.3,0.36,0.3,85.0,3.28,0.39,10.6,5
163,7.4,0.24,0.42,198.0,2.89,0.42,8.9,6
164,6.7,0.24,0.35,205.0,3.15,0.5,9.5,5
165,7.0,0.23,0.36,177.0,3.16,0.49,9.8,5
166,8.4,0.27,0.46,197.0,3.14,0.59,9.6,6
167,6.7,0.46,0.18,98.0,3.08,0.44,12.6,7
168,7.5,0.29,0.31,151.0,3.08,0.54,9.3,5
169,9.8,0.42,0.48,110.0,2.87,0.29,10.0,5
170,7.1,0.3,0.46,133.0,3.12,0.54,12.7,6
171,7.9,0.19,0.45,96.0,3.13,0.39,11.0,6
172,7.6,0.48,0.37,100.0,3.03,0.39,11.4,4
173,6.3,0.22,0.43,130.0,3.35,0.33,11.5,7
174,,0.27,0.31,173.0,3.09,0.64,10.2,5
175,6.9,0.23,0.4,151.0,3.11,0.27,11.4,6
176,7.2,0.32,0.47,65.0,3.03,0.41,12.6,4
177,5.9,0.23,0.3,170.0,3.28,0.39,9.4,5
178,6.0,0.67,0.07,108.0,3.11,0.35,8.7,4
179,6.4,0.25,0.32,176.0,3.19,0.68,9.2,6
180,6.4,0.33,0.31,173.0,3.19,0.66,9.3,6
181,7.1,0.34,0.15,183.0,3.09,0.43,9.2,5
182,6.8,0.28,0.4,167.0,2.93,0.5,8.7,5
183,6.9,0.27,0.4,227.0,3.18,0.58,9.6,6
184,6.8,0.26,0.56,226.0,3.02,0.63,9.3,5
185,6.8,0.29,0.56,230.0,3.02,0.63,9.3,5
186,6.7,0.24,0.41,166.0,3.12,0.61,9.9,6
187,5.9,0.3,0.23,119.0,3.15,0.5,11.0,5
188,6.8,0.53,0.35,109.0,3.26,0.57,12.7,8
189,6.5,0.28,0.28,210.0,3.09,0.54,8.9,4
190,6.6,0.28,0.28,211.0,3.09,0.55,8.9,6
191,6.8,0.28,0.4,167.0,2.93,0.5,8.7,5
192,6.8,0.28,0.36,123.0,3.02,0.37,11.4,6
193,6.6,0.15,0.34,125.0,3.36,0.42,9.6,5
194,6.4,0.29,0.44,181.0,3.02,0.41,9.1,5
195,6.4,0.3,0.45,180.0,3.02,0.39,9.1,6
196,6.4,0.29,0.44,183.0,3.01,0.38,9.1,5
197,6.8,0.26,0.24,214.0,3.13,0.47,8.9,5
198,7.1,0.32,0.24,204.0,3.1,0.49,8.8,5
199,6.8,0.26,0.24,214.0,3.13,0.47,8.9,5
200,6.8,0.27,0.26,196.0,3.15,0.5,9.3,5
201,7.1,0.32,0.24,204.0,3.1,0.49,8.8,5
202,6.9,0.54,0.32,236.0,3.2,0.5,9.6,5
203,6.8,0.26,0.34,134.0,3.33,0.53,12.0,6
204,5.8,0.28,0.35,114.0,3.28,0.5,10.2,4
205,6.4,0.21,0.5,153.0,3.15,0.43,8.8,5
206,7.0,0.16,0.32,126.0,3.21,0.34,9.2,5
207,10.2,0.44,0.88,124.0,2.99,0.51,9.9,4
208,6.8,0.57,0.29,77.0,3.32,0.74,10.2,5
209,6.1,0.4,0.31,170.0,3.22,0.77,9.5,6
210,5.6,0.245,0.25,68.0,3.31,0.34,10.5,5
211,6.8,0.18,0.38,111.0,3.32,0.59,11.2,7
212,7.0,0.16,0.32,126.0,3.21,0.34,9.2,5
213,6.7,0.13,0.29,122.0,3.44,0.37,9.7,6
214,6.2,0.25,0.25,105.0,3.3,0.44,11.1,7
215,5.8,0.26,0.24,152.0,3.31,0.38,9.4,5
216,7.5,0.27,0.36,164.0,3.03,0.33,11.0,5
217,5.8,0.26,0.24,152.0,3.31,0.38,9.4,5
218,5.7,0.28,0.24,167.0,3.31,0.44,9.4,5
219,7.5,0.23,0.36,161.0,3.04,0.32,11.0,5
220,7.5,0.27,0.36,164.0,3.03,0.33,11.0,5
221,7.2,0.685,0.21,172.0,3.0,0.55,9.1,6
222,6.2,0.25,0.25,105.0,3.3,0.44,11.1,7
223,6.5,0.19,0.3,144.0,3.42,0.39,9.1,6
224,6.3,0.495,0.22,140.0,3.39,,10.4,6
225,7.1,0.24,0.41,145.0,3.32,0.39,8.7,5
226,6.4,0.17,0.32,200.0,3.5,0.5,9.7,6
227,7.1,0.25,0.32,272.0,3.17,0.52,9.1,6
228,6.4,0.17,0.32,200.0,3.5,0.5,9.7,6
229,7.1,0.24,0.41,145.0,3.32,0.39,8.7,5
230,6.8,0.64,0.08,142.0,3.37,0.46,8.9,4
231,8.3,0.28,0.4,194.0,3.34,0.51,9.6,6
232,8.2,0.27,0.39,208.0,3.31,0.51,9.5,6
233,7.2,0.23,0.38,194.0,3.09,0.44,9.0,6
234,7.2,0.23,0.38,194.0,3.09,0.44,9.0,6
235,7.2,0.23,0.38,194.0,3.09,0.44,9.0,6
236,7.2,0.23,0.38,194.0,3.09,0.44,9.0,6
237,6.8,0.52,0.32,221.0,3.27,0.5,9.6,6
238,7.0,0.26,0.59,120.0,3.34,0.41,11.1,7
239,6.2,0.25,0.21,159.0,3.48,0.64,9.6,6
240,7.3,0.32,0.23,197.0,3.2,0.46,8.7,5
241,7.7,0.31,0.26,90.0,3.13,0.5,10.4,5
242,7.1,0.21,0.37,100.0,3.15,0.38,11.4,7
243,6.8,0.24,0.34,218.5,3.3,0.58,9.7,6
244,6.9,0.4,0.56,142.0,3.14,0.46,8.7,5
245,6.1,0.18,0.36,249.5,3.37,0.79,11.3,6
246,6.8,0.21,0.27,139.0,3.16,0.61,12.6,7
247,5.8,0.2,0.27,77.0,3.25,0.36,10.9,7
248,5.6,0.19,0.26,76.0,3.25,0.37,10.9,7
249,,0.41,0.14,119.0,3.38,0.45,10.0,5
250,5.9,0.21,0.28,199.0,3.72,0.7,10.0,4
251,8.5,0.26,0.21,197.0,3.02,0.5,9.8,3
252,6.9,0.4,0.56,142.0,3.14,0.46,8.7,5
253,5.8,0.24,0.44,109.0,3.53,0.43,11.7,3
254,5.8,0.24,0.39,158.0,3.21,0.52,9.3,6
255,6.7,0.26,0.39,147.0,3.32,0.58,9.6,8
256,6.3,0.35,0.3,97.0,3.27,0.41,11.0,7
257,6.3,0.35,0.3,97.0,3.27,0.41,11.0,7
258,6.4,0.23,0.39,118.0,3.32,0.5,11.8,6
259,5.8,0.36,0.38,75.0,3.28,0.34,11.4,4
260,6.9,0.115,0.35,108.0,3.32,0.42,10.2,6
261,6.9,0.29,0.4,156.0,2.93,0.47,8.9,5
262,6.9,0.28,0.4,95.0,3.17,0.33,10.2,5
263,7.2,0.29,0.4,231.0,3.08,0.59,9.6,6
264,6.2,0.24,0.35,167.0,3.1,0.48,10.6,6
265,6.9,0.29,0.4,156.0,2.93,0.47,8.9,5
266,6.9,0.32,0.26,180.0,3.25,0.51,9.2,6
267,,0.58,0.07,149.0,3.34,0.57,9.7,5
268,5.3,0.585,,145.0,3.34,0.57,9.7,6
269,5.4,0.59,0.07,147.0,3.34,0.57,9.7,6
270,6.9,0.32,0.26,180.0,3.25,0.51,9.2,6
271,5.2,0.6,0.07,147.0,3.33,0.58,9.7,5
272,5.8,0.25,0.26,148.0,3.29,0.38,9.3,5
273,6.6,0.58,0.3,123.0,3.24,0.38,9.0,5
274,7.0,0.29,0.54,234.0,3.05,0.61,9.5,5
275,6.6,0.19,0.41,169.0,3.14,0.57,9.8,6
276,6.7,0.2,0.41,166.0,3.14,0.58,9.8,6
277,7.7,0.26,0.4,60.0,2.89,0.5,10.6,5
278,6.8,0.32,0.34,67.0,3.05,0.47,10.6,4
279,7.0,0.3,0.49,105.0,3.26,0.68,12.4,7
280,7.0,0.24,0.36,112.0,3.19,0.38,12.6,8
281,6.1,0.31,0.58,114.0,3.3,0.6,12.3,8
282,6.8,0.44,0.37,201.0,3.08,0.65,10.5,4
283,6.7,0.34,0.3,196.0,3.19,0.49,9.3,5
284,7.1,0.35,0.24,198.0,3.12,0.49,8.8,5
285,7.3,0.32,0.25,180.0,3.08,0.47,8.8,5
286,6.5,0.28,0.33,190.0,3.22,0.51,9.7,6
287,7.2,0.23,0.39,192.0,2.98,0.48,9.0,7
288,7.2,0.23,0.39,192.0,2.98,0.48,9.0,7
289,7.2,0.23,0.39,192.0,2.98,0.48,9.0,7
290,7.2,0.23,0.39,192.0,2.98,0.48,9.0,7
291,5.9,0.15,0.31,155.0,3.52,0.46,10.5,6
292,7.4,0.28,0.42,195.0,2.96,0.44,9.1,5
293,6.2,0.28,0.22,157.0,3.44,0.64,9.8,7
294,9.1,0.59,0.38,182.0,3.23,0.38,8.5,3
295,6.3,0.33,0.27,175.0,3.37,0.54,9.4,6
296,8.3,0.39,0.7,169.0,3.09,0.57,9.4,5
297,7.2,0.19,0.46,187.0,3.19,0.6,11.2,7
298,7.5,0.17,0.44,146.0,3.17,0.45,10.0,6
299,6.7,0.17,0.5,122.0,3.15,0.45,10.3,6
300,6.1,0.41,0.0,87.0,3.27,0.67,10.8,6
301,8.3,0.2,0.35,74.0,3.13,0.38,10.5,6
302,6.1,0.41,0.0,87.0,3.27,0.67,10.8,6
303,6.0,0.29,0.21,168.0,3.32,0.43,11.1,6
304,7.3,0.41,0.24,163.0,3.2,0.41,9.9,6
305,7.3,0.41,0.24,163.0,3.2,0.41,9.9,6
306,7.2,0.43,0.24,163.0,3.2,0.41,9.9,5
307,7.3,0.4,0.24,166.0,3.2,0.41,9.9,6
308,6.2,0.33,0.27,134.0,3.2,0.42,10.4,7
309,6.2,0.31,0.26,148.0,3.21,0.41,10.4,6
310,6.1,0.36,0.27,100.0,3.4,0.71,11.5,7
311,5.0,0.55,0.14,164.0,3.53,0.51,12.5,8
312,7.8,0.25,0.41,149.0,3.36,0.45,10.0,6
313,5.7,0.36,0.21,166.0,3.29,0.63,10.0,6
314,5.8,0.34,0.21,167.0,3.29,0.62,10.0,5
315,6.8,0.28,0.6,127.0,3.09,0.44,9.1,6
316,6.8,0.25,0.34,134.0,3.21,0.38,10.6,6
317,6.6,0.24,0.35,135.0,3.19,0.37,10.5,5
318,5.9,0.3,0.47,133.0,3.52,0.43,11.5,7
319,6.1,0.125,0.25,69.0,3.54,0.59,10.1,6
320,6.0,0.1,0.24,65.0,3.61,0.61,10.3,7
321,6.6,0.24,0.35,135.0,3.19,0.37,10.5,5
322,6.8,0.25,0.34,134.0,3.21,0.38,10.6,6
323,6.8,0.28,0.44,137.0,3.16,0.36,10.4,6
324,8.3,0.41,0.51,207.0,3.02,0.55,11.4,5
325,7.5,0.27,0.31,313.0,3.18,0.59,10.5,5
326,7.9,0.26,0.41,216.0,2.96,0.6,10.0,6
327,6.4,0.34,0.23,143.0,3.19,0.65,10.0,6
328,6.5,0.28,0.35,195.0,3.23,0.5,9.6,6
329,7.2,0.21,0.41,85.0,3.17,0.51,10.4,5
330,6.4,0.32,0.35,101.0,3.36,0.6,12.5,8
331,6.8,0.24,0.34,135.0,3.2,0.39,10.6,5
332,6.3,0.23,0.3,91.0,3.28,0.4,11.8,6
333,6.5,0.28,0.34,133.0,3.11,0.44,9.8,5
334,5.6,0.26,0.26,80.0,3.25,0.38,10.8,5
335,6.3,0.23,0.3,91.0,3.28,0.4,11.8,6
336,6.3,0.23,0.33,105.0,3.32,0.42,11.2,6
337,5.8,0.27,0.27,170.0,3.28,0.42,9.3,6
338,5.9,0.26,0.4,139.0,3.45,0.53,10.4,5
339,6.6,0.18,0.35,141.0,3.43,0.85,10.2,7
340,7.4,0.2,0.43,153.0,3.19,0.55,9.0,7
341,8.0,0.24,0.36,129.0,3.2,0.54,10.0,6
342,6.4,0.26,0.42,140.0,3.18,0.47,9.1,6
343,5.4,0.31,0.47,144.0,3.29,0.76,10.0,5
344,5.4,0.29,0.47,145.0,3.29,0.75,10.0,6
345,7.1,0.145,0.33,131.0,3.28,0.4,9.6,6
346,5.6,0.34,0.1,68.0,3.36,0.51,11.2,7
347,6.7,0.19,0.41,155.0,3.2,0.44,8.8,6
348,7.8,0.18,0.46,118.0,3.15,0.5,10.0,6
349,7.6,0.17,0.45,137.0,3.15,0.47,10.0,5
350,6.3,0.12,0.36,146.0,3.27,0.74,11.4,7
351,7.3,0.33,0.4,138.0,3.03,0.3,11.9,7
352,5.5,0.335,0.3,128.0,3.14,0.51,9.6,6
353,7.3,0.33,0.4,138.0,3.03,0.3,11.9,7
354,5.8,0.4,0.42,245.0,3.25,0.57,9.6,6
355,7.3,0.22,0.37,191.0,2.89,0.38,9.0,6
356,7.3,0.22,0.37,191.0,2.89,0.38,9.0,6
357,6.1,0.36,0.33,169.0,3.15,0.78,9.5,6
358,10.0,0.2,0.39,152.0,3.0,0.42,10.4,6
359,6.9,0.24,0.34,161.0,3.2,0.59,10.6,6
360,6.4,0.24,0.32,162.0,3.28,0.5,10.2,6
361,7.1,0.365,0.14,84.0,3.15,0.43,8.9,5
362,6.8,0.15,0.3,127.0,3.4,0.39,9.7,6
363,7.3,0.22,0.37,191.0,2.89,0.38,9.0,6
364,6.8,0.16,0.4,102.0,3.49,0.42,11.4,7
365,6.0,0.26,0.32,113.0,3.4,0.71,12.3,7
366,6.0,0.18,0.27,143.0,3.49,0.62,10.8,6
367,6.9,0.33,0.21,148.0,3.12,0.45,9.4,6
368,,0.29,0.48,178.0,3.17,0.64,10.6,6
369,7.1,0.39,0.35,72.0,3.17,0.29,11.6,5
370,6.9,0.33,0.21,148.0,3.12,0.45,9.4,6
371,7.7,0.29,0.48,178.0,3.17,0.64,10.6,6
372,6.6,0.905,0.19,204.0,3.34,0.56,10.0,5
373,7.2,0.27,0.27,149.0,3.1,0.51,9.2,6
374,5.1,0.33,0.22,89.0,3.51,0.38,12.5,7
375,5.1,0.33,0.22,89.0,3.51,0.38,12.5,7
376,6.4,0.31,0.28,119.0,3.32,0.51,10.4,7
377,7.3,0.2,0.44,98.0,3.15,0.46,10.0,7
378,5.7,0.32,0.5,155.0,3.22,0.64,10.0,6
379,6.4,0.31,0.28,119.0,3.32,0.51,10.4,7
380,7.3,0.2,0.44,98.0,3.15,0.46,10.0,7
381,7.2,0.28,0.26,179.0,3.1,0.52,9.0,6
382,7.5,0.35,0.28,157.0,3.12,0.53,9.2,6
383,7.2,0.27,0.27,149.0,3.1,0.51,9.2,6
384,6.0,0.36,0.39,125.0,3.38,0.39,11.3,7
385,5.1,0.33,0.22,89.0,3.51,0.38,12.5,7
386,5.0,0.17,0.56,115.0,3.48,0.39,10.8,7
387,6.3,0.39,0.35,260.0,3.12,0.66,10.1,5
388,6.7,0.21,0.32,140.0,3.39,0.46,9.7,6
389,7.0,0.3,0.38,181.0,3.18,0.61,9.3,7
390,7.0,0.3,0.38,181.0,3.18,0.61,9.3,7
391,6.5,0.36,0.32,66.0,3.1,0.46,10.6,5
392,6.1,0.55,0.15,125.0,3.36,0.47,10.2,6
393,7.3,0.24,0.43,69.0,3.08,0.56,12.2,6
394,6.8,0.37,0.51,163.0,3.19,0.44,8.8,5
395,6.8,0.27,0.12,168.0,3.18,0.41,10.0,5
396,8.2,0.28,0.42,93.0,3.09,0.39,11.4,5
397,6.3,0.2,0.4,107.0,3.46,0.5,11.4,6
398,5.9,0.26,0.27,168.0,3.35,0.44,9.4,5
399,6.4,0.19,0.42,83.0,3.3,0.41,11.7,6
400,6.3,0.2,0.4,107.0,3.46,0.5,11.4,6
401,6.8,0.37,0.51,163.0,3.19,0.44,8.8,5
402,6.1,0.35,0.07,108.0,3.23,0.52,9.2,5
403,7.1,0.27,0.31,252.0,3.07,0.56,8.7,5
404,6.8,0.22,0.31,170.0,3.24,0.66,12.6,6
405,6.8,0.27,0.12,168.0,3.18,0.41,10.0,5
406,5.8,0.28,0.34,99.0,3.39,0.39,12.8,7
407,6.9,0.49,0.24,125.0,3.17,0.51,9.4,5
408,6.3,0.14,0.39,116.0,3.26,0.53,10.3,6
409,8.2,0.28,0.42,93.0,3.09,0.39,11.4,5
410,7.2,0.25,0.39,155.0,2.97,0.47,9.0,6
411,7.3,0.28,0.36,140.0,3.3,0.79,9.6,6
412,7.2,0.19,0.39,85.0,3.16,0.5,10.5,5
413,7.2,0.19,0.39,85.0,3.16,0.5,10.5,5
414,7.2,0.25,0.39,155.0,2.97,0.47,9.0,6
415,7.3,0.28,0.36,140.0,3.3,0.79,9.6,6
416,7.4,0.21,0.27,99.0,3.19,0.33,9.8,6
417,6.8,0.26,0.22,210.0,3.1,0.47,9.0,5
418,7.4,0.21,0.27,99.0,3.19,0.33,9.8,6
419,7.4,0.31,0.28,137.0,3.31,0.56,10.5,6
420,7.0,0.22,0.31,136.0,3.16,0.37,12.7,7
421,7.0,0.21,0.28,222.0,3.25,0.54,10.4,6
422,7.0,0.21,0.28,221.0,3.25,0.54,10.4,6
423,7.0,0.21,0.28,221.0,3.25,0.54,10.4,6
424,6.9,0.23,0.38,162.0,3.34,0.52,10.5,7
425,7.0,0.21,0.28,222.0,3.25,0.54,10.4,6
426,7.0,0.21,0.28,221.0,3.25,0.54,10.4,6
427,6.8,0.29,0.5,194.0,3.09,0.45,9.4,5
428,7.8,0.21,0.27,89.0,3.06,0.46,9.1,5
429,7.1,0.31,0.47,197.0,3.1,0.49,9.3,5
430,6.8,0.29,0.5,194.0,3.09,0.45,9.4,5
431,6.4,0.34,0.1,84.0,3.21,0.38,9.8,5
432,7.4,0.155,0.34,214.0,3.18,0.61,9.9,7
433,7.2,0.55,0.09,151.0,3.07,0.57,9.2,4
434,7.0,0.23,0.36,104.0,3.35,0.47,12.1,8
